t,x1_100,x2_100,x1_990,x2_990,x1_950,x2_950,x1_925,x2_925,x1_900,x2_900
0,0.9920596979703794,1.0105460202141807,0.9920680719712998,1.010554552649313,0.9921015693891856,1.0105886838308031,0.9921225064244772,1.0106100169900887,0.9921434443437689,1.0106313510500993
1,1.0746520473763532,1.1417731078037086,1.0746904022711994,1.141813116198196,1.0748405774803838,1.1419697231089458,1.0749317938431564,1.1420648113732554,1.0750209705946951,1.1421577464303183
2,1.081185941913124,1.1364892269558484,1.0813851731209008,1.1366263676049302,1.0822361155381406,1.1372275862024948,1.082812795248382,1.137647168508254,1.083424833139199,1.1381014117531667
3,1.1044632238304406,1.151424339679748,1.1049294626677835,1.151890637874847,1.106941470655178,1.1539067953274025,1.1083201953470074,1.1552915368376546,1.1097937067226775,1.1567739372275476
4,1.1006901089712684,1.1151507132666867,1.1011859740771575,1.115515913649587,1.103397505721919,1.1172342445424406,1.1049659932384812,1.1185207818017475,1.1066785679293545,1.119973876934712
5,1.0696656386775765,1.0846552604622022,1.0703092028180519,1.0851305473843615,1.0732576265235876,1.0874297150243672,1.0754041969919286,1.0891908139655364,1.0777840797696658,1.0912015564442692
6,1.0358358379845338,1.0651197127150263,1.0364775091618308,1.0656891725363917,1.0395210584856955,1.0684712568659953,1.041807237720393,1.0706156451777882,1.0443855272959741,1.0730678943725036
7,1.017497795607782,1.0361564846663505,1.0182978088794181,1.0365965374741375,1.0221178151417831,1.0389773228979842,1.0250038382749986,1.0409627132899337,1.0282687587911785,1.0433244067708995
8,0.9939332413163833,1.0141510631778659,0.9947115216200441,1.0145813921226519,0.9985754461309864,1.0170823721686906,1.001590574328767,1.0192697993342614,1.0050585350636247,1.0219294077176295
9,0.9766077702516798,0.9931902686747806,0.9774591937407107,0.9936853581924803,0.9817552273978113,0.9966356295340216,0.9851450431710415,0.9992515995738757,0.9890604849661707,1.0024469893398216
10,0.9667268960123409,0.9769440945393832,0.9676410816339476,0.9775919883467664,0.9723104316007302,0.9813794393677044,0.976025078994699,0.9846899261379665,0.9803293375018616,0.9887000003258207
11,0.9538428442918097,0.9600364685742865,0.9545731781570365,0.9606126613170152,0.9586419286241958,0.9642543750315964,0.962086320496017,0.9675714576461404,0.9661976763182197,0.9716489601972494
12,0.9430829189217715,0.9424380129202662,0.9436800358682581,0.9428497148326548,0.9474583295448007,0.9460528092071757,0.9509129716867635,0.9492628816792978,0.9551763843827298,0.9533527699963362
13,0.9309138415103985,0.9250221613165576,0.9312450155380512,0.9252256861338793,0.934232043540321,0.9279169221248325,0.9374053287756801,0.9310581488173919,0.9415427094548389,0.9352633016978388
14,0.919155791673297,0.9103750787044481,0.9190975894319671,0.9103680877198209,0.9208593005796958,0.9126221893781061,0.9235284119671643,0.915803580503646,0.9273532327155746,0.9202735574646485
15,0.9104363302960035,0.90107672086733,0.9099292901384729,0.9008189746027371,0.9102666506720998,0.9024889053099243,0.9123309677145207,0.9056136640860183,0.9157531015008199,0.9102316773631438
16,0.9037531261144484,0.8935027412084796,0.9026487726279493,0.8928077230495167,0.9010186004296078,0.8931374628115606,0.9021767719194795,0.8957222817619137,0.9049199878920416,0.8999958878453956
17,0.8986794684243803,0.8902578534513949,0.896733818505142,0.888932156577911,0.8922180537412366,0.8872152503145796,0.8919463561587248,0.88888428371851,0.8935278855868742,0.8924977181379944
18,0.8961935889126939,0.8924098876062437,0.8932914719396825,0.8903018078061083,0.885572213913374,0.8859838351268648,0.8837879423888928,0.8864335702791817,0.8842105309365974,0.8891155190705772
19,0.8988021207682917,0.8966776110985513,0.8948595237794996,0.8935749058079897,0.8837021633828696,0.8858847893098636,0.8803348633594936,0.8846923225689176,0.8795778623075928,0.8860602694128559
20,0.9050412697736457,0.904614986882689,0.8998995723619114,0.900212828878344,0.8847209450801559,0.8879261920503083,0.8794342848283013,0.8843246229361342,0.8771686708776281,0.8836133055900116
21,0.9155526197896988,0.9159023229520344,0.9089706683038383,0.9099651059364878,0.8888440995885764,0.8922473650964523,0.8811006547369072,0.8858199626369898,0.8768313424204667,0.8827076871063269
22,0.9292336610126507,0.9316157299638589,0.921033555507397,0.9239511137831339,0.8953688130684361,0.9001054779152967,0.8849007501933517,0.8904752080271143,0.8784363366233283,0.884630711364762
23,0.9473419212801564,0.9494176299737579,0.9373272535212607,0.9397627331266801,0.905360046147228,0.9088443403717642,0.8916976148744615,0.8955096126619639,0.8825682745318771,0.88650006237892
24,0.9684502150663102,0.9732467052598417,0.9563919536130192,0.9615086793318471,0.9172782980555191,0.9232024008743316,0.8999588147385232,0.9059963361190547,0.8877655854886881,0.8936699098832068
25,0.9937080815983321,1.000165084859544,0.9794177987713788,0.9861181922938437,0.9324088234444663,0.9395550147879574,0.9109585494237767,0.9179471232588344,0.8952235625509689,0.901773886064486
26,1.019836313542707,1.0284021192610537,1.0030926442471797,1.0118544036756705,0.9474363753580103,0.9564124499605294,0.9214966274606744,0.9301337263863495,0.9019458313757741,0.9099389337589554
27,1.044979563992638,1.059520933635874,1.0255567303037656,1.0403801541773892,0.9605144580172635,0.9758031759736483,0.9297661263966193,0.9447597580354057,0.9061958161335955,0.9204790138025174
28,1.0706500159736347,1.0916243023708072,1.0483747837684383,1.0697407962961598,0.9733316281618193,0.9955377903721441,0.9374450129681875,0.9595007350885386,0.9095604284938082,0.9309556252706075
29,1.098345387121497,1.1225085610067855,1.0731599498391018,1.0976789535244431,0.9879558848971125,1.0131728571149994,0.9468812628812826,0.9718326855996566,0.9146708499686069,0.9388051476544725
30,1.1297309653609036,1.155871119793103,1.1016595314114184,1.1280577694426914,1.0064522216532323,1.0331851125511535,0.9603205151507404,0.9865580899170826,0.9239290474713502,0.9490982565618776
31,1.1605702959577417,1.1906550893057406,1.1294939701717626,1.1597945494078532,1.023871976259127,1.0543753042044377,0.972473285734344,1.0023877875051812,0.9317242324392818,0.9604312663314033
32,1.192212192795741,1.2254925031752308,1.1580903516961047,1.1914884615600752,1.041881116154751,1.0751768131671327,0.9850676810228418,1.0176245533699306,0.9397611925951483,0.9709603030600273
33,1.2240355556102427,1.2609986773003556,1.1868644705832614,1.2238037260477252,1.060107302849675,1.096483453899153,0.9979321356232671,1.0333547577045403,0.9481341896762019,0.982023327171332
34,1.2562953498707647,1.2968018044368599,1.2161263367504642,1.25639575007322,1.0790932335912398,1.118064034604484,1.0117623316056403,1.049406710015507,0.9576918181905534,0.9934818506194405
35,1.2893538757122398,1.3344643909233824,1.2462506214806741,1.290835483572403,1.0991919618365147,1.1414320226818122,1.0268263313183894,1.0671753447367751,0.968551670154246,1.006546193805065
36,1.3238243692314107,1.375636056396337,1.2778161155654553,1.3288265566232718,1.1207721560288726,1.1684576454533921,1.0433088224625218,1.0885947364892388,0.9806833646717762,1.0231817988086183
37,1.3572858515000183,1.4171959958370828,1.308367587429299,1.3671824120582814,1.1413284754314008,1.1957860571206909,1.058775959716693,1.1102931834426755,0.9918348723279814,1.0400795215370409
38,1.3915196959635414,1.458967153519748,1.3397411333414078,1.4057430484260158,1.1628573810204017,1.2233140877733126,1.075254382375287,1.1321932653267068,1.0039829082929357,1.0571790715933853
39,1.424524202064162,1.5003029699289236,1.369877645737503,1.4438376945762192,1.1830756972217504,1.2502096895534835,1.0903366136964723,1.1533122362563217,1.0146241052553722,1.0733186209084244
40,1.4582774338842868,1.5417558501082924,1.4008412343136225,1.4820648448455163,1.2043805234292728,1.2772785785385043,1.1066122803514464,1.1746000251998168,1.0265135175087163,1.0895925032872606
41,1.4898670236708054,1.5834297347834605,1.429638735011286,1.52058282356021,1.2235128126665034,1.304931874471026,1.1207342934940243,1.1966655775379236,1.0363131886582464,1.106850215882123
42,1.5220022254872938,1.6246580271629707,1.4590912836551615,1.5586622730313473,1.2437116331289804,1.3321590345267778,1.1361460016702276,1.2182977871474758,1.0475857321368882,1.1236555876954228
43,1.5529216706705944,1.6648408435476325,1.487386864819394,1.5956896650619639,1.2630022829235523,1.3582873436580736,1.1508264270806488,1.2387843985603866,1.0583318380834497,1.139256298512451
44,1.5832789194491,1.7045015805513442,1.5151889942172583,1.6322184810134763,1.2820622706558955,1.3839868361939762,1.1654345179966297,1.2588690049066849,1.0691606338270958,1.1544718217497345
45,1.6148435633576679,1.7438564623586523,1.544303281260957,1.6684906490335976,1.3027698012546611,1.4095879990800553,1.181810343742792,1.2789235760386415,1.0817870722181542,1.1697070431429852
46,1.6463362205445033,1.7824145612313125,1.573404914892408,1.7039915582925755,1.3236716790679939,1.4344777918579552,1.1984944956674262,1.2982750282771838,1.0948323429652425,1.1842303464469828
47,1.6778116039541466,1.8206491951086423,1.602532870595803,1.7392333972618184,1.3447139185685417,1.4593454063593936,1.2153425784257204,1.3177369769641476,1.1080287210116078,1.1989850300573761
48,1.7092012678046509,1.8602933349868338,1.631622658381503,1.7760285038123533,1.3658603289507238,1.4862884787742356,1.2323543128548298,1.3395490391072524,1.1214351758909726,1.2163137627643195
49,1.7389746453133719,1.8990155070502601,1.6590653535137152,1.811910570734129,1.38520019462791,1.5122890885936957,1.2474469465467095,1.3603634283542747,1.13281351323258,1.2325776550178706
50,1.7687195742515862,1.938737092267835,1.6864970085788824,1.848884369501864,1.4045636049169854,1.539673858861899,1.2625660806740555,1.3826815478878733,1.1442127172069732,1.2504123009362054
51,1.7990988609278875,1.9772595826323285,1.714624013954125,1.8846460396167795,1.4248563135735228,1.5657324275294595,1.2787627982462297,1.4035695060851483,1.1568413160492879,1.266708479371025
52,1.8299330361805295,2.0160160233825613,1.743247681619858,1.9206921924617029,1.44579073300234,1.5922089095125773,1.2956786474492743,1.4249117534304514,1.1702563898294658,1.2834654393825249
53,1.8603086603027088,2.0538863052733607,1.7714086098571713,1.9558902032731587,1.4661933220788643,1.617960252150219,1.3119783542996881,1.4455995982776495,1.1829418349557286,1.299650102954518
54,1.891752378865621,2.0917700470204146,1.8006875092006651,1.991198931171809,1.4878479565871712,1.6441887951452716,1.3295490461960962,1.46698227067217,1.1968546694668492,1.316744450590545
55,1.9222365190811497,2.1289192403419404,1.828965123163742,2.0258326299537153,1.5082875742097037,1.6699473811552439,1.3457461274722167,1.4879933345381426,1.2092324964908934,1.3335357173384288
56,1.9529328185100854,2.164518730384803,1.857501881454021,2.0589613888689153,1.529181379997718,1.6943769771061736,1.3625361130788223,1.5077949744945158,1.222362885823734,1.3492544900880477
57,1.9839093694777943,2.1996345212297848,1.886353011426357,2.0916849200912724,1.550502894483524,1.718658133774444,1.3798129484781012,1.5275552335819653,1.2360349470005696,1.3649875680728956
58,2.0149872696059923,2.232523087677574,1.915351737009799,2.122203064608361,1.572136434686167,1.7407955113914741,1.3974872571157224,1.5451997631659935,1.2501725448070835,1.378631747686443
59,2.045861409494644,2.264251611708591,1.9441837556776351,2.1516467020688492,1.593745344192709,1.7621961004496542,1.4152286228714908,1.5623238099629133,1.2644761663266062,1.3919805706531292
60,2.075657986669339,2.2941518262667424,1.9719427516818882,2.1792932591563083,1.6142974928958762,1.7818807767721885,1.4319301689399282,1.5777546098998,1.2777669336696835,1.403644439359185
61,2.10527242219758,2.323240595010167,1.9995517807415097,2.206221930260629,1.6347810604448307,1.8012053509558035,1.448571281350518,1.5930402514613777,1.290969988383346,1.415372491494893
62,2.1349738530479114,2.3516645495212125,2.0272882216060095,2.2325777531565283,1.6555209309580934,1.8203014155329444,1.4655255149986943,1.6082978978210658,1.3045270297505396,1.4272638672354105
63,2.16471227152042,2.3794931595765907,2.0551155441567075,2.258432210817359,1.6765603221058674,1.8392355458326008,1.482907283515661,1.623576361066416,1.3186357516664393,1.4393338239788824
64,2.193899176349963,2.4067258256737842,2.0824021463065496,2.2837706239797098,1.6970735140977322,1.8579321482320632,1.4997550609131531,1.6387649141534946,1.3321962806938823,1.4514474920133507
65,2.223009570936148,2.4327231586495133,2.109650157852035,2.3079231368568816,1.717669260504063,1.8755909429414024,1.516738480439121,1.6529726307025001,1.3459303870036499,1.4626126631866572
66,2.250642175983987,2.4584882742868484,2.1354000036309717,2.331931125919737,1.7366713130781843,1.8934165660448312,1.5320663381563062,1.667512044152728,1.3579555822021587,1.474251873895406
67,2.278618161279473,2.4842005939791303,2.1615604546610916,2.355973151311056,1.756346924000328,1.9115680192509796,1.5482243813528564,1.6825129853727105,1.370956216268623,1.4864481358146893
68,2.3061683993715514,2.5092263284603273,2.1873042029264553,2.3793747178558715,1.775612755712154,1.9292102743893538,1.5639535175274226,1.6970491015454703,1.3834897449799524,1.498198944442876
69,2.333714241173573,2.5335241154924426,2.213087098944765,2.402091917358072,1.7950899623945922,1.9462954765196239,1.5800026122687023,1.7110780418944251,1.3964530407905043,1.509477032827187
70,2.3597077239595343,2.5567100197501778,2.2372924213469623,2.4237124785230275,1.812876300801132,1.9623011897361256,1.5942858405728948,1.7240121152905519,1.407577909350783,1.5196326453323565
71,2.3847954873290327,2.5792922851085613,2.2605889643685515,2.4447679066625856,1.829723100361898,1.9778554398728532,1.6076030301535915,1.7365407063061309,1.4177128258140117,1.5294142323370894
72,2.408757454717198,2.6008009664358793,2.282772027343593,2.464776182134961,1.8455169362196366,1.9924531948392643,1.6199225298083633,1.748172534315342,1.4269264175407,1.5383731320067906
73,2.43365684733454,2.6220441717575524,2.305998457928947,2.484575548781335,1.862782328786199,2.007051787808714,1.6339752737588904,1.7599284994616429,1.4381171356198659,1.5475741878660834
74,2.456928808338297,2.643586188999148,2.327576254411417,2.50474444879333,1.8783052511892335,2.0222760776393107,1.6462256417953471,1.772447096670513,1.4474525941590874,1.557651125276603
75,2.480376188806693,2.6652861999456636,2.3494149192733524,2.5251178915309382,1.8944617108891109,2.0378653162657048,1.6593658555187463,1.7854110591615657,1.4579473290074063,1.5682388526169473
76,2.504181150905241,2.6858440302823885,2.371677140579265,2.544338189554693,1.9112921857079912,2.0522219385154528,1.6733241148611901,1.7970716785011691,1.4693952974254543,1.5774448210523175
77,2.5275771681414843,2.7066327975512263,2.3935391992248554,2.5638413384883187,1.9277074132287522,2.0670496706228247,1.6868102765033783,1.8093050299780797,1.4802693573479644,1.5873085863105307
78,2.551243173105172,2.7278322662962937,2.4157212804548163,2.5838147455760936,1.944608444494604,2.0825748580205343,1.700854430362257,1.8223743704495243,1.4917489158869608,1.5981495946115998
79,2.5744125000347537,2.747983711026178,2.437419014832535,2.6027090760420943,1.9610554995035363,2.0968531823840753,1.714452918154663,1.8340626218461002,1.5027871232680914,1.607458645846637
80,2.5974998002214447,2.768143580908851,2.4590613810946556,2.6216372776492305,1.977522173968103,2.1112436183739276,1.7280917178614232,1.8458933012397933,1.5138654788786883,1.6169253604882536
81,2.620351375815897,2.788070196824236,2.4804811394231776,2.6403525677249786,1.9937989817284865,2.1254887960266493,1.741551866539858,1.8576154894462515,1.5247741819576717,1.6263227472710282
82,2.6425572561452237,2.8078308651404784,2.5012509684253774,2.6589186943113554,2.009383390849162,2.139640259473079,1.754277541655266,1.8692718627157208,1.5348989855605308,1.6356782087122033
83,2.664469165255054,2.827402034795237,2.521746819446449,2.677300161052604,2.024755257348615,2.153608191494618,1.7668192178200994,1.8807367519670055,1.5448660245325365,1.6448338566339935
84,2.6862294238102775,2.8467931526654073,2.54210787574605,2.6955102518584027,2.0400420752980235,2.1674355837423467,1.7792936671169977,1.892083715043297,1.554771699176187,1.6539001265470987
85,2.7083018850821325,2.86561103794708,2.5628177357860475,2.7131460873278685,2.055807662350009,2.180682286559839,1.7923174217463638,1.9028480362613005,1.5652905237035986,1.6623852403636479
86,2.730196187116419,2.8841035986831343,2.583374448103464,2.7304620223981333,2.0715189787869317,2.1936275996975816,1.8053534130938045,1.9133219046774486,1.5758942843737958,1.6705902852293304
87,2.752507282821469,2.9021725919075676,2.6043891410687747,2.747355253136247,2.0878269235713853,2.2061640738702746,1.8190463061166702,1.9234083222451241,1.5871882348210267,1.6784413645500904
88,2.774494959474937,2.9204617806613378,2.6250751032676205,2.76449757178108,2.1037582160757338,2.219060089935209,1.8323159723727125,1.9339138400387568,1.5980036057928602,1.6867575093666582
89,2.796047753806661,2.9390622361607246,2.645310544551057,2.7819703791908963,2.119151586807998,2.232346196038588,1.8449801226823428,1.944829669679924,1.6081432841058412,1.6954873303523719
90,2.818182411021126,2.9572882735826753,2.6661713469581994,2.7990642964181256,2.1353359882905907,2.2452449085190906,1.85853428253312,1.9553625252223288,1.6192684735592935,1.7038482733464335
91,2.8406872841666444,2.975709361608803,2.6874149069077835,2.816372147815466,2.1519304748044323,2.258441142007544,1.8725011118959725,1.9662518045692323,1.6308005090143698,1.7126282345613815
92,2.862866774066286,2.993933182075013,2.7083148677515725,2.833480687929401,2.1680981467985294,2.271424486840287,1.885989690692257,1.9769128542785288,1.6418117049868832,1.7211567565977643
93,2.885430535170225,3.011611881686115,2.729618013189961,2.850035738437743,2.1847454280612646,2.283842757403649,1.9000087843157807,1.9870246656823858,1.6534067397519359,1.7291753270653762
94,2.9085398198554344,3.0295158451044717,2.7514866550927053,2.8668339488258034,2.202022920898383,2.2965755916078368,1.9146822018021117,1.9974900048391302,1.6656626345654437,1.7375752880871889
95,2.9318606568316574,3.047234328172874,2.7735642777752436,2.883457500475356,2.2194878745850017,2.3091934639012184,1.9295225231313133,2.0078919022387094,1.6780603039220006,1.7459753731273335
96,2.954720088240428,3.064779282558245,2.7951493317605047,2.8998965632124936,2.236334644208108,2.321566712974603,1.9436692629456087,2.0179946875949706,1.6896954190739033,1.7540071063677942
97,2.9776319422259276,3.082017945883736,2.8167831720685528,2.916030561993949,2.2532198657955402,2.3336436790315265,1.9578495785470553,2.027809126285995,1.7013572317548185,1.7617603903257153
98,2.999929060682379,3.099333733996786,2.837778057953252,2.932263716500158,2.2693979906105572,2.3459170513328838,1.9713131115708409,2.037888874227349,1.712328831163625,1.769855796713749
99,3.0220344713666902,3.1165203285387655,2.8585740322060786,2.948383253846734,2.2853569251483727,2.358147047650938,1.9845522196044891,2.047974172849257,1.7230752935804117,1.7780075236092252
